geohash,day_of_week,weekend,day,hour,minute,n
9q59x3,2,0,11,22,40,31
9q59x3,2,0,11,22,45,31
9q59x3,2,0,11,22,50,31
9q59x3,2,0,11,23,55,31
9q59x3,3,0,12,23,15,31
9q59x3,4,0,13,23,40,31
9q59x3,4,0,13,23,45,31
9q59x3,4,0,13,23,50,31
9q59x3,4,0,13,23,55,31
9q59x3,5,0,14,23,10,31
9q59x3,6,1,15,21,25,31
9q59x3,6,1,15,21,40,31
9q59x3,6,1,15,23,45,31
9q59x6,3,0,12,21,15,31
9q59x6,3,0,12,21,40,31
9q59x6,3,0,12,22,0,31
9q59x6,3,0,12,22,10,31
9q59x6,3,0,12,22,25,31
9q59x6,3,0,12,23,0,31
9q59x6,3,0,12,23,5,31
9q59x6,3,0,12,23,10,31
9q59x6,3,0,12,23,20,31
9q59x6,3,0,12,23,25,31
9q59x6,3,0,12,23,30,31
9q59x6,3,0,12,23,35,31
9q59x6,3,0,12,23,40,31
9q59x6,3,0,12,23,45,31
9q59x6,3,0,12,23,50,31
9q59x6,3,0,12,23,55,31
9q59x6,6,1,15,22,25,31
9q59x6,6,1,15,22,45,31
9q59x9,5,0,14,21,5,31
9q59xd,3,0,12,21,15,31
9q59xd,3,0,12,21,20,31
9q59xd,3,0,12,21,35,31
9q59xd,5,0,14,21,30,31
9q59xd,5,0,14,21,40,31
9q59xd,5,0,14,21,45,31
9q59x2,5,0,14,22,5,30
9q59x2,5,0,14,22,10,30
9q59x3,2,0,11,22,55,30
9q59x3,2,0,11,23,0,30
9q59x3,2,0,11,23,5,30
9q59x3,2,0,11,23,10,30
9q59x3,2,0,11,23,15,30
9q59x3,2,0,11,23,20,30
9q59x3,2,0,11,23,50,30
9q59x3,4,0,13,23,10,30
9q59x3,4,0,13,23,15,30
9q59x3,4,0,13,23,20,30
9q59x3,6,1,15,21,0,30
9q59x3,6,1,15,21,5,30
9q59x3,6,1,15,21,30,30
9q59x3,6,1,15,21,35,30
9q59x3,6,1,15,21,45,30
9q59x6,3,0,12,22,5,30
9q59x6,3,0,12,22,30,30
9q59x6,3,0,12,22,35,30
9q59x6,3,0,12,22,45,30
9q59x6,3,0,12,22,50,30
9q59x6,3,0,12,22,55,30
9q59x6,3,0,12,23,15,30
9q59x6,6,1,15,21,30,30
9q59x6,6,1,15,21,50,30
9q59x6,6,1,15,21,55,30
9q59x6,6,1,15,22,0,30
9q59x6,6,1,15,22,5,30
9q59x6,6,1,15,22,10,30
9q59x6,6,1,15,22,15,30
9q59x6,6,1,15,22,30,30
9q59x6,6,1,15,22,35,30
9q59x6,6,1,15,22,40,30
9q59x6,6,1,15,23,25,30
9q59x6,6,1,15,23,30,30
9q59x6,6,1,15,23,35,30
9q59x6,6,1,15,23,40,30
9q59x8,6,1,15,21,0,30
9q59x8,6,1,15,21,5,30
9q59x9,5,0,14,21,0,30
9q59x9,5,0,14,21,15,30
9q59x9,5,0,14,21,30,30
9q59xd,3,0,12,21,5,30
9q59xd,3,0,12,21,10,30
9q59xd,5,0,14,21,15,30
9q59xd,5,0,14,21,20,30
9q59xd,5,0,14,21,25,30
9q59x3,2,0,11,22,25,29
9q59x3,2,0,11,23,45,29
9q59x3,3,0,12,22,5,29
9q59x3,3,0,12,22,10,29
9q59x3,3,0,12,22,15,29
9q59x3,3,0,12,23,5,29
9q59x3,3,0,12,23,10,29
9q59x3,3,0,12,23,20,29
9q59x3,3,0,12,23,25,29
9q59x3,4,0,13,22,5,29
9q59x3,4,0,13,22,45,29
9q59x3,4,0,13,23,0,29
9q59x3,4,0,13,23,5,29
9q59x3,4,0,13,23,25,29
9q59x3,4,0,13,23,30,29
9q59x3,4,0,13,23,35,29
9q59x3,5,0,14,23,5,29
9q59x3,6,1,15,21,50,29
9q59x3,6,1,15,22,15,29
9q59x3,6,1,15,22,25,29
9q59x3,6,1,15,22,30,29
9q59x6,3,0,12,22,40,29
9q59x6,6,1,15,21,25,29
9q59x6,6,1,15,21,35,29
9q59x6,6,1,15,23,50,29
9q59x6,6,1,15,23,55,29
9q59x8,6,1,15,21,10,29
9q59x9,5,0,14,21,10,29
9q59xd,3,0,12,21,0,29
9q59x3,2,0,11,22,20,28
9q59x3,2,0,11,23,25,28
9q59x3,2,0,11,23,30,28
